,Year,EarningsbySex,Earnings
0,2009,MedianWeeklyEarningsCnstDollars_Women,307.0
1,2010,MedianWeeklyEarningsCnstDollars_Women,307.25
2,2011,MedianWeeklyEarningsCnstDollars_Women,303.75
3,2012,MedianWeeklyEarningsCnstDollars_Women,300.75
4,2013,MedianWeeklyEarningsCnstDollars_Women,302.75
5,2014,MedianWeeklyEarningsCnstDollars_Women,304.0
6,2015,MedianWeeklyEarningsCnstDollars_Women,306.5
7,2016,MedianWeeklyEarningsCnstDollars_Women,312.25
8,2017,MedianWeeklyEarningsCnstDollars_Women,314.25
9,2018,MedianWeeklyEarningsCnstDollars_Women,314.0
10,2009,MedianWeeklyEarningsCnstDollars_Men,379.0
11,2010,MedianWeeklyEarningsCnstDollars_Men,377.75
12,2011,MedianWeeklyEarningsCnstDollars_Men,369.75
13,2012,MedianWeeklyEarningsCnstDollars_Men,371.75
14,2013,MedianWeeklyEarningsCnstDollars_Men,369.5
15,2014,MedianWeeklyEarningsCnstDollars_Men,367.75
16,2015,MedianWeeklyEarningsCnstDollars_Men,377.5
17,2016,MedianWeeklyEarningsCnstDollars_Men,381.25
18,2017,MedianWeeklyEarningsCnstDollars_Men,384.0
19,2018,MedianWeeklyEarningsCnstDollars_Men,387.25
